;通用表格檔

' 、 ． ‧ 丶 ＂ ＇ ·
'' “ 〝
''' ” 〞 ＂
'ac 🇦🇨
'ad 🇦🇩
'ae 🇦🇪
'af 🇦🇫
'ag 🇦🇬
'ai 🇦🇮
'al 🇦🇱
'am 🇦🇲
'ao 🇦🇴
'aq 🇦🇶
'ar 🇦🇷
'as 🇦🇸
'at 🇦🇹
'au 🇦🇺
'aw 🇦🇼
'ax 🇦🇽
'az 🇦🇿
'ba 🇧🇦
'bb 🇧🇧
'bd 🇧🇩
'be 🇧🇪
'bf 🇧🇫
'bg 🇧🇬
'bh 🇧🇭
'bi 🇧🇮
'bj 🇧🇯
'bl 🇧🇱
'bm 🇧🇲
'bn 🇧🇳
'bo 🇧🇴
'bq 🇧🇶
'br 🇧🇷
'bs 🇧🇸
'bt 🇧🇹
'bv 🇧🇻
'bw 🇧🇼
'by 🇧🇾
'bz 🇧🇿
'ca 🇨🇦
'cc 🇨🇨
'cd 🇨🇩
'cf 🇨🇫
'cg 🇨🇬
'ch 🇨🇭
'ci 🇨🇮
'ck 🇨🇰
'cl 🇨🇱
'cm 🇨🇲
'cn 🇨🇳
'co 🇨🇴
'cp 🇨🇵
'cr 🇨🇷
'cu 🇨🇺
'cv 🇨🇻
'cw 🇨🇼
'cx 🇨🇽
'cy 🇨🇾
'cz 🇨🇿
'de 🇩🇪
'dg 🇩🇬
'dj 🇩🇯
'dk 🇩🇰
'dm 🇩🇲
'do 🇩🇴
'dz 🇩🇿
'ea 🇪🇦
'ec 🇪🇨
'ee 🇪🇪
'eg 🇪🇬
'eh 🇪🇭
'er 🇪🇷
'es 🇪🇸
'et 🇪🇹
'eu 🇪🇺
'fi 🇫🇮
'fj 🇫🇯
'fk 🇫🇰
'fm 🇫🇲
'fo 🇫🇴
'fr 🇫🇷
'ga 🇬🇦
'gd 🇬🇩
'ge 🇬🇪
'gf 🇬🇫
'gg 🇬🇬
'gh 🇬🇭
'gi 🇬🇮
'gl 🇬🇱
'gm 🇬🇲
'gn 🇬🇳
'gp 🇬🇵
'gq 🇬🇶
'gr 🇬🇷
'gs 🇬🇸
'gt 🇬🇹
'gu 🇬🇺
'gw 🇬🇼
'gy 🇬🇾
'hk 🇭🇰
'hm 🇭🇲
'hn 🇭🇳
'hr 🇭🇷
'ht 🇭🇹
'hu 🇭🇺
'ic 🇮🇨
'id 🇮🇩
'ie 🇮🇪
'il 🇮🇱
'im 🇮🇲
'in 🇮🇳
'io 🇮🇴
'iq 🇮🇶
'ir 🇮🇷
'is 🇮🇸
'it 🇮🇹
'je 🇯🇪
'jm 🇯🇲
'jo 🇯🇴
'jp 🇯🇵
'ke 🇰🇪
'kg 🇰🇬
'kh 🇰🇭
'ki 🇰🇮
'km 🇰🇲
'kn 🇰🇳
'kp 🇰🇵
'kr 🇰🇷
'kw 🇰🇼
'ky 🇰🇾
'kz 🇰🇿
'la 🇱🇦
'lb 🇱🇧
'lc 🇱🇨
'li 🇱🇮
'lk 🇱🇰
'lr 🇱🇷
'ls 🇱🇸
'lt 🇱🇹
'lu 🇱🇺
'lv 🇱🇻
'ly 🇱🇾
'ma 🇲🇦
'mc 🇲🇨
'md 🇲🇩
'me 🇲🇪
'mf 🇲🇫
'mg 🇲🇬
'mh 🇲🇭
'mk 🇲🇰
'ml 🇲🇱
'mm 🇲🇲
'mn 🇲🇳
'mo 🇲🇴
'mp 🇲🇵
'mq 🇲🇶
'mr 🇲🇷
'ms 🇲🇸
'mt 🇲🇹
'mu 🇲🇺
'mv 🇲🇻
'mw 🇲🇼
'mx 🇲🇽
'my 🇲🇾
'mz 🇲🇿
'na 🇳🇦
'nc 🇳🇨
'ne 🇳🇪
'nf 🇳🇫
'ng 🇳🇬
'ni 🇳🇮
'nl 🇳🇱
'no 🇳🇴
'np 🇳🇵
'nr 🇳🇷
'nu 🇳🇺
'nz 🇳🇿
'om 🇴🇲
'pa 🇵🇦
'pe 🇵🇪
'pf 🇵🇫
'pg 🇵🇬
'ph 🇵🇭
'pk 🇵🇰
'pl 🇵🇱
'pm 🇵🇲
'pn 🇵🇳
'pr 🇵🇷
'ps 🇵🇸
'pt 🇵🇹
'pw 🇵🇼
'py 🇵🇾
'qa 🇶🇦
're 🇷🇪
'ro 🇷🇴
'rs 🇷🇸
'ru 🇷🇺
'rw 🇷🇼
'sa 🇸🇦
'sb 🇸🇧
'sc 🇸🇨
'sd 🇸🇩
'se 🇸🇪
'sg 🇸🇬
'sh 🇸🇭
'si 🇸🇮
'sj 🇸🇯
'sl 🇸🇰
'sl 🇸🇱
'sm 🇸🇲
'sn 🇸🇳
'so 🇸🇴
'sr 🇸🇷
'ss 🇸🇸
'st 🇸🇹
'sv 🇸🇻
'sx 🇸🇽
'sy 🇸🇾
'sz 🇸🇿
'ta 🇹🇦
'tc 🇹🇨
'td 🇹🇩
'tf 🇹🇫
'tg 🇹🇬
'th 🇹🇭
'tj 🇹🇯
'tk 🇹🇰
'tl 🇹🇱
'tm 🇹🇲
'tn 🇹🇳
'to 🇹🇴
'tr 🇹🇷
'tt 🇹🇹
'tv 🇹🇻
'tw 🇹🇼
'tz 🇹🇿
'ua 🇺🇦
'ug 🇺🇬
'um 🇺🇲
'us 🇺🇸
'uy 🇺🇾
'uz 🇺🇿
'va 🇻🇦
'vc 🇻🇨
've 🇻🇪
'vg 🇻🇬
'vi 🇻🇮
'vn 🇻🇳
'vu 🇻🇺
'wf 🇼🇫
'ws 🇼🇸
'xk 🇽🇰
'ye 🇾🇪
'yt 🇾🇹
'za 🇿🇦
'zm 🇿🇲
'zw 🇿🇼
, ，
,' ‘ ’ ‵ ′ 、 丶 ＂ ＇ ，
,'' “ ” 〝 〞 ’
,, 「 ， 〈 ＜ ﹤ ‘ ’ 《 “ ” ❮ ❰ ⟦ ⦃ ⦅ ⦇ ⦉
,,, 《 «
,,v 」 ”
,. ． ‧ 〉 ＞ ﹥ 。 ゝ 、 丶 · ❯ ❱ ⟧ ⦄ ⦆ ⦈ ⦊
,.. ¨ 》 » ∶
,... ∵ ∴ ┆ ┇ ┊ ┋ ┄ ┅ ┈ ┉
,..e Ё ё
,..u ü
,.e. ÷
,.r. ≒ ≑
,[ 「 ｛ 〔 【 〈 ﹙ ﹛ ﹝ ＜ ［ （ 〖 ⊏ ⊑ ⦋ ⦑ ⦗ ❴ ⁅
,[[ 『 ﹃ 【 ︻ 《 ︽ « ⦓ ⦕
,[[v ︽ ﹃
,[v ﹁ ︻ ︹ ︷ ︽ ︿ ˆ ∧
,] 」 ｝ 〕 】 〉 ﹚ ﹜ ﹞ ＞ ］ ） 〗 ⊐ ⊒ ⦌ ⦒ ⦘ ❵ ⁆
,]] 』 ﹄ 】 ︼ 》 ︾ » ⦔ ⦖
,]]v ︾ ﹄
,]v ﹂ ︼ ︺ ︸ ︾ ﹀ ∨
,a α ㄚ 丶 ． ∀ А а ɑ
,a.m ㏂
,aa 丶
,ae 亼 釒
,ah ㋿
,ai ㄞ
,air ✈
,al ♢ ♦
,all ∀
,alp Α
,am ㏂
,an ㄢ
,and ＆
,ang ㄤ
,ao ㄠ
,apc ℀
,aps ℁
,au ㄠ ㍳
,b ８ Ⅷ β ㄅ ＆ ⅷ ∞ ⑻ ⑧ Ь ∾
,b. ⒏
,bah ฿
,bar ㍴
,bb ☯
,bd ✁ ✂ ✃ ✄
,be 冫 Б б Ё ё
,bet Β
,bi 仝 阝 ฿
,bie 仝
,bis ♗ ♝
,bn ㆟
,bob ¤
,bq ㏃
,br ≧ ≦
,bs ☼ ☉ ☀
,bu ü
,bue ㋇
,by ☯ ☰ ☱ ☲ ☳ ☴ ☵ ☶ ☷
,c ７ Ⅶ ㄘ ⅶ ⑺ ⑦
,c. ⒎
,cal ㎈
,cap ∩
,cc ㏄ ℂ
,cd ㏅
,ce 彑 ₠
,cen ¢
,ch ㄔ
,che ✓ ✔ Ч ч
,chi ㄔ ㄑ Χ χ
,ci ㄑ ㆗ ¢ ℂ
,cj ㆗
,ckg ㏆
,cl ℄
,clu ♣ ♧
,cm ㎝ ₡
,cmm ㎠ ㎤
,cmr ㎠
,cms ㎤
,co ㏇ 襾
,co. ㏇
,col ₡
,com ☄
,con ∮
,cp ￠ ¢
,cpb ⅞
,cpk ㏆
,cpo ℅
,cpu ℆
,cr € ₢
,cro ✙ ✚ ✛ ✜ ✝ ✞ ✟ ✠ ☩
,cru ₢
,cs ˙
,cue ㋆
,cup ∪
,cy ˙
,d ㄉ δ
,da ㍲
,db 捌 ☼ ☉ ☀ ㏈
,dc 柒 ↁ
,de 壹 弌 壱 ㍽ Д д
,del Δ
,df 肆
,dg 仟 【 】
,dgg 】
,dh ㍼
,di ≯
,dia ♢ ♦
,dj 拾
,dk 玖
,dl 陸 陆 ㎗
,do 零 ☼ ☉ ☀
,dol ＄ ﹩ $
,don ₫
,dp 佰 ₯
,dr 貳 弍 貮 贰 貮 ₫
,dra ₯
,ds 參 ☆ ★ 弎 ✩ ✪ ✫ ✬ ✭ ✮ ✯ ✰ ✡
,dse ☆ ★ ✩ ✪ ✫ ✬ ✭ ✮ ✯ ✰ ✡
,dt ☯
,dv 萬 万
,dw 伍 ㍾
,e １ Ⅰ ㄝ ㄜ ー ― – ε Σ ⅰ ㄧ － ㆒ ∃ ∈ ∑ ⑴ ① ─ ━ ￣ Э э
,e. ⒈
,e.e ﹊ ﹎
,ea ā
,ear ☷
,eb. ⒙
,ec. ⒘
,ed ㆝
,ede ₫
,edn ㆝
,ee ＿ 彐 艸 ― － ─ ˉ — ￣ ē
,ee. ⒒
,eee ﹉ ﹍ ☰ ┄ ┅ ┈ ┉
,eer ☴
,eeu ㋊
,ef ▃ ▄ ▏ ▎ ▍ ▌ ▋ ▊ ▉ Ф ф
,ef. ⒕
,eh ㄝ ♥ ♡ ❤ ❥ ❦ ❧ დ ღ ❣
,ei ㄟ ˆ ∉ 乀 乁 屮 ī
,ej ∓ 肀 屮
,ek. ⒚
,el ㄦ τ Л л
,el. ⒗
,em М м
,en ㄣ Н н
,enb ㆛
,eng ㄥ
,env ✉ 📧 📨 📩 💌
,eo ō
,eo. ⒑
,eou ㋉
,ep ⅟ ∉
,epb ⅛
,epf ¼
,epl ⅙
,epr ½
,eps ⅓ Ε
,epw ⅕
,eq 豸
,er ㄦ π ㄫ ∏ Р р
,er. ⒓
,ere ☲
,erl ㄫ
,err ☶
,eru ㋋
,es ˙ ξ С с
,es. ⒔
,eta Η η
,eu ū
,eue ㋀
,eur € ₠
,ew. ⒖
,ex 屮
,ey ˙
,ez →
,ezz ↠
,f ４ Ⅳ ㄈ ♀ ⅳ ㆕ ⑷ ④
,f. ⒋
,fa ㆘ ☟ 灬 ∷
,fac ☹ ☺ ☻
,fb ✙ ✚
,fe ㆖ ☝
,fg ✈
,fgy ✈
,fir ☲
,fl 匸 ㄈ 匚
,flg ⚑ ⚐
,fm ㎙
,fn □ ■ ◇ ◆ █ ▇ ▆ ▅ ▂ ＊ ⊞ ⊠ ⊡ ▣ ▤ ▥ ▦ ◧ ◨ ◩ ◪
,fpw ⅘
,fqu ☽ ☾
,fr ₣
,fra ₣
,fs ˋ
,ft ✈
,fty ✈
,fu ∴
,fue ㋃
,fy ˋ ♢ ♦
,g （ ㄍ γ ˆ 巜 ） 〔 〖 ɡ
,ga ⒜ ㄍ
,gae ㈮
,gam Γ
,gb ⑻ ㈧ ⒝ ㎇
,gbb ㈾
,gbi ㈾
,gbz ㈽
,gc ⑺ ㈦ ⒞
,gco ㈴
,gd ⒟
,gdo ㈰
,ge ⑴ ㈠ ⒠
,geb ⒅
,gec ⒄
,gee ⑾
,gef ⒁
,gek ⒆
,gel ⒃
,geo ⑽
,ger ⑿
,ges ⒀
,gew ⒂
,gf ⑷ ㈣ ⒡
,gfn ㈫
,gg ） ⒢ 〕 〗
